land,city,name,category,lat,lon,url,partner_since,person
Nordrhein-Westfalen,Witten,Universität Witten/Herdecke,Lehr-Fellowship,51.443,7.353,https://ki-campus.org/fellowships,,Prof. Dr. phil. Daniela Schmitz
Hessen,Wiesbaden,Hochschule RheinMain,KI-Campus-Original,50.078,8.239,https://ki-campus.org/courses/sprachassistenzen-hochschule,,
Hessen,Wiesbaden,eGov-Campus,Partner,50.078,8.239,,,
Österreich,Wien,Universität Wien,Lehr-Fellowship,48.208,16.371,https://ki-campus.org/fellowships,,
Österreich,Wien,Universität Wien,Lehr-Fellowship,48.208,16.371,https://ki-campus.org/fellowships,,
Baden-Württemberg,Stuttgart,DHBW Stuttgart,KI-Campus-Original,48.775,9.182,https://ki-campus.org/courses/viskik-dhbw,,
Baden-Württemberg,Stuttgart,Landesärztekammer Baden-Württemberg (LÄK BW),KI-Campus-Original,48.775,9.182,https://ki-campus.org/courses/drmedki_anwendungen_cme,,
Baden-Württemberg,Stuttgart,Mercedes Benz AG,KI-Campus-Original,48.775,9.182,https://ki-campus.org/courses/einfuehrungki2020,,
Baden-Württemberg,Stuttgart,Universität Hohenheim,KI-Campus-Original,48.775,9.182,,,
Baden-Württemberg,Stuttgart,Universität Stuttgart,KI-Campus-Original,48.775,9.182,https://ki-campus.org/courses/aivet-um-2021,,
Baden-Württemberg,Stuttgart,Mercedes-Benz Fonds,Partner,48.775,9.182,https://ki-campus.org/projekte?,,
Baden-Württemberg,Sigmaringen,Hochschule Albstadt-Sigmaringen,Lehr-Fellowship,48.086,9.214,https://ki-campus.org/fellowship-2021?locale=en,,"Prof. Dr. Maximilian Wolf, Prof. Dr. Stefan Ruf"
Nordrhein-Westfalen,Sankt Augustin,Fraunhofer IAIS,KI-Campus-Original,50.769,7.187,https://ki-campus.org/courses/kischule,,
Saarland,Saarbrücken,DFKI,KI-Campus-Original,49.238,6.997,https://ki-campus.org/foundationsai,,
Saarland,Saarbrücken,Universität des Saarlandes,KI-Campus-Original,49.238,6.997,https://ki-campus.org/menschmaschine,,
Saarland,Saarbrücken,DFKI,Partner,49.238,6.997,https://ki-campus.org/about,,
Saarland,Saarbrücken,NEOCOSMO,Partner,49.238,6.997,https://ki-campus.org/about,,
Saarland,Saarbrücken,Universität des Saarlandes,Forschungskolleg-Fellowship,49.238,6.997,https://ki-campus.org/forschungskolleg,,Dr. Mahsa Vali Zadeh
Saarland,Saar,HTW Saar,Forschungskolleg-Fellowship,49.396,7.023,https://ki-campus.org/fellowships,,
Bayern,Pullach im Isartal,Parmenides Foundation,KI-Campus-Original,48.057,11.519,https://ki-campus.org/courses/KI_Ethik_I,,
Brandenburg,Potsdam,Hasso-Plattner-Institut,Partner,52.39,13.064,https://ki-campus.org/about?,,
Baden-Württemberg,Pforzheim,Hochschule Pforzheim,Lehr-Fellowship,48.892,8.694,https://ki-campus.org/fellowship-2021?locale=en,,Dagmar Korinthenberg
Nordrhein-Westfalen,Paderborn ,Universität Paderborn ,KI-Campus-Original,51.718,8.757,https://ki-campus.org/courses/baeumediy-upb2021,,
Nordrhein-Westfalen,Paderborn ,Universität Paderborn ,Lehr-Fellowship,51.718,8.757,https://ki-campus.org/node/648,,Prof. Dr. Ilka Mindt 
Niedersachsen ,Osnabrück,GesundheitsCampus Osnabrück,KI-Campus-Original,52.279,8.047,https://ki-campus.org/kigesundheit,,
Nordrhein-Westfalen,Münster,FH Münster,KI-Campus-Original,51.96,7.626,https://ki-campus.org/courses/botki-fhm2021,,
Bayern,München,TU München,Forschungskolleg-Fellowship,48.135,11.582,https://ki-campus.org/forschungskolleg,,Altus Viljoen
Bayern,München,TU München,Forschungskolleg-Fellowship,48.135,11.582,https://ki-campus.org/fellowships,,
Bayern,München,TU München,KI-Campus-Original,48.135,11.582,https://ki-campus.org/courses/GenAI-im-Studium,,
Bayern,München,Universität München,KI-Campus-Original,48.135,11.582,https://ki-campus.org/courses/KI_Ethik_I,,
Bayern,München,UnternehmerTUM / appliedAI-Initiative,KI-Campus-Original,48.135,11.582,https://ki-campus.org/courses/einfuehrungki2020,,
Bayern,München,Klinikum rechts der Isar der TU München,Lehr-Fellowship,48.135,11.582,https://ki-campus.org/fellowships,,PD Dr. Dr. Alexander Zink
Bayern,München,appliedAI,Partner,48.135,11.582,https://ki-campus.org/courses/einfuehrungki2020,,
Nordrhein-Westfalen,Mülheim an der Ruhr,Hochschule Ruhr West,Lehr-Fellowship,51.418,6.884,https://ki-campus.org/node/648,,"Prof. Dr. Jens Allmer, Prof. Dr. Andreas Hennig"
Baden-Württemberg,Mannheim,Universität Mannheim,Forschungskolleg-Fellowship,49.487,8.466,https://ki-campus.org/fellowships,,
Baden-Württemberg,Mannheim,Universität Mannheim ,KI-Campus-Original,49.487,8.466,https://ki-campus.org/courses/aivet-um-2021,,
Baden-Württemberg,Mannheim,Universtität Mannheim,Lehr-Fellowship,49.487,8.466,https://ki-campus.org/forschungskolleg,,Marc Egloffstein
Rheinland- Pfalz,Mainz,Hochschule Mainz,Lehr-Fellowship,49.992,8.247,https://ki-campus.org/fellowships,,Matthias Brunnbauer
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Forschungskolleg-Fellowship,52.12,11.627,https://ki-campus.org/forschungskolleg,,Johannes Schleiß
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Forschungskolleg-Fellowship,52.12,11.627,,,
Sachsen-Anhalt,Magdeburg,Universität Magdeburg,Lehr-Fellowship,52.12,11.627,https://ki-campus.org/fellowship-2021?locale=en,,"Prof. Dr.-Ing. Sebastian Stober, Johannes Schleiß"
Niederlande,Maastricht,European MOOC Consortium (EMC),Partner,50.851,5.691,https://ki-campus.org/press/european-mooc-consortium?,,
Niedersachsen ,Lüneburg,Leuphana Universität Lüneburg,Forschungskolleg-Fellowship,53.247,10.416,https://ki-campus.org/forschungskolleg,,Prof. Dr. Dana-Kristin Mah
Schleswig-Holstein ,Lübeck,MACH,KI-Campus-Original,53.865,10.686,https://ki-campus.org/courses/kioev-ul2021,,
Schleswig-Holstein ,Lübeck,Universität zu Lübeck,KI-Campus-Original,53.865,10.686,https://ki-campus.org/courses/kioev-ul2021,,
Sachsen ,Leipzig,Universität Leipzig,KI-Campus-Original,51.339,12.373,https://ki-campus.org/courses/wwweki,,
Sachsen ,Leipzig,Universität Leipzig,Lehr-Fellowship,51.339,12.373,https://ki-campus.org/node/648,,"Prof. Dr. Roland Happ, Jacqueline Marie-Charlotte Schmidt"
Brandenburg,Königs Wusterhausen,Landesakademie für öffentliche Verwaltung Brandenburg (LakÖV),KI-Campus-Original,52.295,13.622,https://ki-campus.org/courses/kioev-ul2021,,
Nordrhein-Westfalen,Köln,Technische Hochschule Köln,Forschungskolleg-Fellowship,50.937,6.96,https://ki-campus.org/forschungskolleg,,Katharina Bata
Nordrhein-Westfalen,Köln,eco - Verband der Internetwirtschaft e.V,KI-Campus-Original,50.937,6.96,https://ki-campus.org/courses/ki-im-techservice,,
Nordrhein-Westfalen,Köln,TH Köln,KI-Campus-Original,50.937,6.96,https://ki-campus.org/courses/dali-basis-THK2021,,
Nordrhein-Westfalen,Köln,TH Köln,Lehr-Fellowship,50.937,6.96,https://ki-campus.org/node/648,,"Prof. Dr. Angela Schmitz, Katharina Bata"
Nordrhein-Westfalen,Köln,Universität Köln,Lehr-Fellowship,50.937,6.96,https://ki-campus.org/fellowship-2021?locale=en,,"Dr. Claes Neuefeind, Timothée Schmude"
Schleswig-Holstein ,Kiel,Duale Hochschule Schleswig-Holstein,Lehr-Fellowship,54.323,10.122,https://ki-campus.org/fellowships,,Prof. Dr. Malte Prieß
Schleswig-Holstein ,Kiel,VK:KIWA,Partner,54.323,10.122,,,
Bayern,Kempten,Hochschule Kempten,KI-Campus-Original,47.728,10.315,https://ki-campus.org/courses/conversational-ai,,
Hessen,Kassel,Universität Kassel,Forschungskolleg-Fellowship,51.312,9.479,https://ki-campus.org/forschungskolleg,,Nils Knoth
Hessen,Kassel,Universität Kassel,Forschungskolleg-Fellowship,51.312,9.479,https://ki-campus.org/fellowships,,
Baden-Württemberg,Karlsruhe,DHBW Karlsruhe,Forschungskolleg-Fellowship,49.006,8.403,https://ki-campus.org/forschungskolleg,,Dr. Martin Lindner
Baden-Württemberg,Karlsruhe,DHBW Karlsruhe,Forschungskolleg-Fellowship,49.006,8.403,https://ki-campus.org/forschungskolleg,,Emily Rauch
Baden-Württemberg,Karlsruhe,KIT,KI-Campus-Original,49.006,8.403,https://ki-campus.org/amalea,,
Baden-Württemberg,Karlsruhe,DHBW Karlsruhe,Lehr-Fellowship,49.006,8.403,https://ki-campus.org/fellowship-2021?locale=en,,Prof. Dr. Torsten Harms
Baden-Württemberg,Karlsruhe,DHBW Karlsruhe,Partner,49.006,8.403,https://ki-campus.org/about,,
Rheinland- Pfalz,Kaiserslautern,TU Kaiserslautern,KI-Campus-Original,49.44,7.769,https://ki-campus.org/courses/data2teach,,
Rheinland- Pfalz,Kaiserslautern,TU Kaiserslautern,Lehr-Fellowship,49.44,7.769,https://ki-campus.org/fellowships,,"Dr. rer. nat. Carlo Dindorf, Eva Bartaguiz"
