land,city,name,category,lat,lon,url,partner_since,person
Nordrhein-Westfalen,Witten,Universität Witten/Herdecke,Lehr-Fellowship,51443.0,7353.0,https://ki-campus.org/fellowships,,Prof. Dr. phil. Daniela Schmitz
Hessen,Wiesbaden,Hochschule RheinMain,KI-Campus-Original ,50078.0,8239.0,https://ki-campus.org/courses/sprachassistenzen-hochschule,,
Hessen,Wiesbaden,eGov-Campus,Partner,50078.0,8239.0,,,
Österreich,Wien,Universität Wien,Lehr-Fellowship,48208.0,16371.0,https://ki-campus.org/fellowships,,
Österreich,Wien,Universität Wien,Lehr-Fellowship,48208.0,16371.0,https://ki-campus.org/fellowships,,
Baden-Württemberg,Stuttgart,DHBW Stuttgart,KI-Campus-Original ,48775.0,9182.0,https://ki-campus.org/courses/viskik-dhbw,,
Baden-Württemberg,Stuttgart,Landesärztekammer Baden-Württemberg (LÄK BW),KI-Campus-Original ,48775.0,9182.0,https://ki-campus.org/courses/drmedki_anwendungen_cme,,
Baden-Württemberg,Stuttgart,Mercedes Benz AG,KI-Campus-Original ,48775.0,9182.0,https://ki-campus.org/courses/einfuehrungki2020,,
Baden-Württemberg,Stuttgart,Universität Hohenheim,KI-Campus-Original ,48775.0,9182.0,,,
Baden-Württemberg,Stuttgart,Universität Stuttgart,KI-Campus-Original ,48775.0,9182.0,https://ki-campus.org/courses/aivet-um-2021,,
Baden-Württemberg,Stuttgart,Mercedes-Benz Fonds,Partner,48775.0,9182.0,Projekte | KI-Campus,,
Baden-Württemberg,Sigmaringen,Hochschule Albstadt-Sigmaringen,Lehr-Fellowship,48086.0,9214.0,https://ki-campus.org/fellowship-2021?locale=en,,"Prof. Dr. Maximilian Wolf, Prof. Dr. Stefan Ruf"
Nordrhein-Westfalen,Sankt Augustin,Fraunhofer IAIS,KI-Campus-Original ,50769.0,7187.0,https://ki-campus.org/courses/kischule,,
Saarland,Saarbrücken ,DFKI,KI-Campus-Original ,49238.0,6997.0,https://ki-campus.org/foundationsai,,
Saarland,Saarbrücken ,Universität des Saarlandes,KI-Campus-Original ,49238.0,6997.0,https://ki-campus.org/menschmaschine,,
Saarland,Saarbrücken ,DFKI,Partner,49238.0,6997.0,https://ki-campus.org/about,,
Saarland,Saarbrücken ,NEOCOSMO,Partner,49238.0,6997.0,https://ki-campus.org/about,,
Saarland,Saarbrücken,Universität des Saarlandes,Forschungskolleg-Fellowship,49238.0,6997.0,https://ki-campus.org/forschungskolleg,,Dr. Mahsa Vali Zadeh
Saarland,Saar ,HTW Saar,Forschungskolleg-Fellowship,49396.0,7023.0,https://ki-campus.org/fellowships,,
Bayern,Pullach im Isartal,Parmenides Foundation,KI-Campus-Original ,48057.0,11519.0,https://www.ki-campus.org/courses/KI_Ethik_I,,
Brandenburg,Potsdam,Hasso-Plattner-Institut,Partner,52390.0,13064.0,About us | KI-Campus,,
Baden-Württemberg,Pforzheim,Hochschule Pforzheim,Lehr-Fellowship,48892.0,8694.0,https://ki-campus.org/fellowship-2021?locale=en,,Dagmar Korinthenberg
Nordrhein-Westfalen,Paderborn ,Universität Paderborn ,KI-Campus-Original ,51718.0,8757.0,https://ki-campus.org/courses/baeumediy-upb2021,,
Nordrhein-Westfalen,Paderborn ,Universität Paderborn ,Lehr-Fellowship,51718.0,8757.0,https://ki-campus.org/node/648,,Prof. Dr. Ilka Mindt 
Niedersachsen ,Osnabrück,GesundheitsCampus Osnabrück,KI-Campus-Original ,52279.0,8047.0,https://ki-campus.org/kigesundheit,,
Nordrhein-Westfalen,Münster,FH Münster,KI-Campus-Original ,51960.0,7626.0,https://ki-campus.org/courses/botki-fhm2021,,
Bayern,München,Technische Universität München,Forschungskolleg-Fellowship,48135.0,11582.0,https://ki-campus.org/forschungskolleg,,Altus Viljoen
Bayern,München,TU München,Forschungskolleg-Fellowship,48135.0,11582.0,https://ki-campus.org/fellowships,,
Bayern,München,TU München,KI-Campus-Original ,48135.0,11582.0,https://ki-campus.org/courses/GenAI-im-Studium,,
Bayern,München,Universität München,KI-Campus-Original ,48135.0,11582.0,https://ki-campus.org/courses/KI_Ethik_I,,
Bayern,München,UnternehmerTUM / appliedAI-Initiative,KI-Campus-Original ,48135.0,11582.0,https://www.ki-campus.org/courses/einfuehrungki2020,,
Bayern,München,Klinikum rechts der Isar der TU München,Lehr-Fellowship,48135.0,11582.0,https://ki-campus.org/fellowships,,PD Dr. Dr. Alexander Zink
Bayern,München,appliedAI,Partner,48135.0,11582.0,https://ki-campus.org/courses/einfuehrungki2020,,
Nordrhein-Westfalen,Mülheim an der Ruhr,Hochschule Ruhr West,Lehr-Fellowship,51418.0,6884.0,https://ki-campus.org/node/648,,"Prof. Dr. Jens Allmer, Prof. Dr. Andreas Hennig"
Baden-Württemberg,Mannheim,Universität Mannheim,Forschungskolleg-Fellowship,49487.0,8466.0,https://ki-campus.org/fellowships,,
